Destinasi ,2. Alamat,3. Kalurahan/Kelurahan,4. Kapanewon/Kemantren,4.a.  Kabupaten /kota,5. Status Lahan,6. Koordinat,7. Kontak Pengelola 1,7. Kontak Pengelola 2,8. Situs/website,10.a. Facebook,10.b. Instagram,10.c. Youtube,10.d. Tiktok,11. Kelompok Perizinan berusaha Berbasis Risiko,Jenis Wisata,Rating Maps,Latitude,Longitude,Daya Tarik Utama,Harga Tiket Weekday,Harga Tiket Weekend dan Libur Nasional,Parkir Motor,Parkir Mobil,Jam Buka Weekday,Jam Buka Weekend dan Libur Nasional,Toilet,Tempat Sampah,CCTV,Area Parkir,Area Makanan/kafetaria/Restoran,Ruang Ibadah,Area Istirahat Pengunjung
Embung Nglanggeran,"Nglanggeran Wetan, Nglanggeran, Kec. Patuk",Nglanggeran,Patuk ,Gunungkidul,"Tanah Kasultanan, Sebagian pada lahan parkir dan fasilitas lain SHM","-7.8469698382471025, 110.5467623332984",087838747151,-,Desa Wisata Nglanggeran.id,-,desawisatanglanggeran,desawisatanglanggeran,desawisatanglanggeran,Tidak Ada Keterangan,Taman Rekreasi,4.6,-7.845785995,110.5467331,"Embung/danau buatan di atas bukit , Kebun buah durian ","Rp15,000","Rp15,000","Rp2,000","Rp5,000",08.00-17.00,00.00-23.59,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Grand Puri Waterpark,"Gabusan, Jl. Parangtritis No.KM. 9, Balong",Timbulharjo,Sewon ,Bantul,-,"-7.877607423156831, 110.35291948300323",-,-,-,-,-,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.4,-7.87007217,110.3524795,Taman rekreasi air dengan berbagai wahana seluncuran dan kolam renang,"Rp30,000","Rp40,000","Rp3,000","Rp5,000",09.00-17.00,08.00-17.00,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada
Embung Jlamprong,Mojo,Ngeposari ,Semanu,Gunungkidul,Tanah Kas Desa,"-8.01010118132162, 110.67675400608971",082135410822,-,-,-,-,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.4,-8.009973699,110.6768828,Embung di dataran rendah yang dikelilingi pemandangan,Rp0,Rp0,Rp0,Rp0,00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Tidak Ada,Ada
Taman Jamu Naturindo,Clereng,Sendangsari,Pengasih,Kulon Progo,,,,,,,,,,,Taman Rekreasi,4.6,-7.826493864,110.1520153,Koleksi Tanaman Obat dan Edukasi Pembuatan Jamu,Rp0,Rp0,"Rp3,000","Rp5,000",07.30-15.30,07.30-12.30,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Tidak Ada
Taman Tebing Breksi,"Jl. Desa Lengkong, RT.02/RW.17, Gn. Sari",Sambirejo ,Prambanan ,Sleman,Tanah Kasultanan ,"-7.78340, 110.50420",081353393327 (Dwi),081353393327,www tebingbreksi.com,Tebing breksi,@tebingbreksi.yogyakarta,Tebing breksi,@tebingbreksi_official,Rendah,Taman Rekreasi,4.5,-7.781103743,110.5045843,Tebing bekas tambang batu kapur yang diukir menjadi karya seni.,"Rp10,000","Rp15,000","Rp2,000","Rp5,000",06.00-20.00,06.00-20.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Ekowisata Nologaten,"Jl. Temulawak, RW.04, Nologaten",Caturtunggal,Depok,Sleman,Tanah Kas Desa,"-7.775067305197361, 110.39863263243264",081904031945,-,-,-,@ekowisatanologaten,-,-,Rendah,Taman Rekreasi,4.7,-7.774153276,110.398615,Suasanan area persawahan yang asri dan sejuk dengan kolam Ikan dan Ikan di Irigasi,Rp0,Rp0,"Rp3,000","Rp5,000",09.00-22.00,09.00-22.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Jogja Mini Zoo Exotarium,"Jl. Kabupaten No. 99, Duwet",Sendangadi,Mlati,Sleman,Milik Pemerintah Kalurahan Sendangadi,"7°43'43""S 110°21'30""E",087738394686,-,www.jogjaexotarium.com,-,jogjaexotarium,Mini Zoo Jogja Exotarium Official,jogjaexotarium_ofc,Tidak Ada Keterangan,Taman Rekreasi,4.5,-7.727732472,110.3584692,"Kebun Binatang dimana dapat Berinteraksi langsung dengan berbagai satwa unik seperti reptil, mamalia, dan burung, serta menjadi pusat edukasi konservasi.","Rp25,000","Rp25,000","Rp3,000","Rp5,000",08.00-17.00,08.00-17.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Embung Batara Sriten,Sriten,Pilangrejo,Nglipar,Gunungkidul,Tanah Kasultanan,"-783,209,961,106,330,000",085869769636 pak radata,-,-,-,-,-,-,Menengah Rendah,Taman Rekreasi,4.5,-7.838024558,110.537942,Embung (danau buatan) tertinggi di Gunungkidul yang menawarkan pemandangan panorama perbukitan.,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",05.00-18.00,05.00-18.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Lembah Sorory,Pelemadu RT 03 ,Sriharjo,Imogiri,Bantul,wedi kengser/Tanah Kasultanan,"-7.9459498,110.3656912",087839927970,-,-,-,lembahsorory,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.5,-7.945050528,110.3657413,"kolam renang, bumi perkemahan","Rp6,000","Rp6,000","Rp3,000","Rp5,000",08.00-18.00,06.00-17.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Bejiharjo Edupark,Banyubening 1,Bejiharjo,Karangmojo,Gunungkidul,Tanah khas desa,"-7,93611, 110.63567",085198553123 heri,08818582420 Ari,Www.bundesmajumandiri.id,Desa wisata bejiharjo,Bejiharjosawiji,-,-,Rendah,Taman Rekreasi,4.4,-7.935345202,110.6362378,Wisata edukasi yang berfokus pada kegiatan pertanian dan seni budaya.,"Rp150,000","Rp150,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Ada,Ada,Ada,Ada,Ada
The Manglung View,Jln. oro-oro ombo,Patuk,Patuk,Gunungkidul,Milik Pribadi,"-7.845061,110.482443",085878967893 (admin),089666885426 (Mas Vian),Tidak Ada,Tidak Ada,TheManglung,Tidak Ada,Tidak Ada,Tidak Ada Keterangan,Taman Rekreasi,4.4,-7.844716331,110.4825423,View Jogja,Rp0,Rp0,"Rp3,000","Rp5,000",15.00-22.00,12.00-22.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Bendungan Kamijoro,Dusun Kaliwuru,Tuksono,Sentolo,Kulon Progo,-,"7°52'54""S 110°16'14""E",-,-,-,-,taman.bendungan.kamijoro,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.3,-7.878962136,110.265559,Bendungan yang memadukan fungsi irigasi dan jembatan yang unik dan pemandangan Sungai Progo,"Rp5,000","Rp5,000","Rp2,000","Rp5,000",07.00-18.00,07.00-18.00,Ada,Tidak Ada,Tidak Ada,Ada,Ada,Tidak Ada,Ada
Wisata Bojong Asri,Depok Parangtritis kretek bantul,Parangtritis ,Kretek,Bantul,Pribadi dari 12 pemilik dan ada sebagian yang sultan ground ,"-8.009295, 110.295557",08887855797,082138666411,-,-,Wisata.bojongasri,-,Wisata Bojong Asri,Tidak Ada Keterangan,Taman Rekreasi,4.8,-8.008575974,110.295505,"Kuliner, outbound & camping, view jembatan","Rp15,000","Rp15,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Gamplong Studio Alam Sleman,Glampong,Sumberrahayu,Moyudan,Sleman,Sewa TKD,"7°48'20""S 110°14'12""E",0878-2368-2000,-,-,Gamplong Island,Gamplongstudio,GAMPLONG STUDIO,Gamplong_studio,Tidak Ada Keterangan,Taman Rekreasi,4.5,-7.805229621,110.2367553,Studio pembuatan film,Rp0,Rp0,"Rp2,000","Rp5,000",09.00-17.00,09.00-17.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Ledok Sambi Ecopark,"Kaliurang St No.KM. 19,2, Area Sawah, Pakembinangun, Pakem",Pakembinangun,Pakem,Sleman,SHM (sewa),"-7.6472160572715655, 110.42820578095578",081321490183,081904262581,-,-,ledoksambiecopark,-,ledoksambi,Tidak Ada Keterangan,Taman Rekreasi,4.7,-7.646882269,110.4281427,"Area rekreasi alam dengan sungai, kegiatan outbound, dan suasana pedesaan yang asri.",Rp0,Rp0,"Rp3,000","Rp5,000",09.00-16.30,09.00-16.30,Ada,Ada,Ada,Ada,Ada,Ada,Ada
De Mangol View,"Jl. Raya Patuk Ngoro-Ngoro KM.1.4, Sumber Tetes",Ngoro-Oro ,Patuk ,Gunungkidul,-,"-7.8387039062952475, 110.49017753462779",-,-,-,-,-,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.5,-7.837321818,110.4897186,Spot kuliner dan foto dengan pemandangan lanskap kota Yogyakarta ,"Rp20,000","Rp20,000","Rp3,000","Rp5,000",10.00-21.00,10.00-21.00,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Waduk Sermo ,"Sremo tengah rt: 63/23, Sremo Tengah",Hargowilis ,Kokap,Kulon Progo,BBWS,"-7.813339457739928, 110.12163104887571",-,-,-,-,-,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.6,-7.823179576,110.1242868,Waduk besar yang dikelilingi perbukitan hijau.,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Suraloka Interactive Zoo,"Jl. Boyong No.97, Kaliurang, Hargobinangun, Kec. Pakem",Hargobinangun ,Pakem ,Sleman,SHM,"-7.607555465021113, 110.42153901061933",081276109997,-,suralokazoo.com,@suraloka interactive zoo ,@suralokainteractivezoo,-,@suralokainteractivezoo,Rendah,Taman Rekreasi,4.5,-7.605468375,110.4214007,Kebun binatang interaktif dengan berbagai wahana rekreasi,"Rp45,000","Rp45,000","Rp3,000","Rp5,000",09.00-17.00,09.00-17.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Obelix Village,"Jl. Kenangan, Krandon",Pandowoharjo,Sleman,Sleman,Milik Dr. Fredi Setiawan,"-7.687659873876391, 110.37358653791979",08112981783,-,https://obelixvillage.com/,Obelix Village,@obelixvillage,@obelixvillage,@obelixvillage,Tidak Ada Keterangan,Taman Rekreasi,4.5,-7.686866695,110.3728014,Kombinasi wisata alam dan rekreasi keluarga dengan konsep desa di pedesaan Eropa.,"Rp25,000","Rp30,000","Rp3,000","Rp5,000",10.00-21.00,08.00-21.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Galaxy Waterpark Jogja,"Jalan Wonosari No.6, Kalangan",Baturetno,Banguntapan,Bantul,TKD dan sebagian SHM,"-7.8156975629868475, 110.4136380502679",081336380802,-,-,-,galaxywaterparkjogja,-,galaxywaterpark,Rendah,Taman Rekreasi,4.4,-7.815290221,110.413616,Wisata air (waterpark) berupa Taman air dengan berbagai wahana seluncuran dan kolam ombak.,"Rp40,000","Rp45,000","Rp3,000","Rp5,000",09.00-16.00,08.00-16.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
He Ha Sky View,Jl. Dlingo-Patuk No.2,Patuk,Patuk ,Gunungkidul,SERTIFIKAT  HAK MILIK,"-7.849423082635598, 110.47829180631508",02744357999,-,http://hehaskyview.com/,-,hehaskyview,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.5,-7.849328351,110.4782114,Restoran dan kafe dengan pemandangan lampu kota Yogyakarta dari atas bukit,"Rp30,000","Rp35,000","Rp3,000","Rp5,000",10.00-21.00,08.00-21.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Jogja Agro Park ,"Kemiri, Wijimulyo",Wijimulyo,Nanggulan ,Kulon Progo,Tanah Kasultanan,"-7.786501094001184, 110.22147680979454",082134906084,-,-,-,jogjaagropark,-,Jogja Agro Park,Tidak Ada Keterangan,Taman Rekreasi,4.5,-7.78594228,110.2213618,"Edukasi pertanian (Taman wisata dengan konsep agrikultur dan perkebunan, cocok untuk belajar tentang tanaman dan berinteraksi dengan hewan)",Rp0,Rp0,"Rp3,000","Rp5,000",06.00-18.00,06.00-18.00,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Ada
Embung Tonogoro ,Tonogoro Banjaroyo Kalibawang ,Banjaroyo,Kalibawang ,Kulon Progo,Desa,"-7.659195, 110.234362",081227015192,-,-,-,-,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.5,-7.658081737,110.2342457,Embung di atas bukit dengan pemandangan pegunungan,"Rp3,000","Rp3,000","Rp3,000","Rp5,000",08.00-18.00,08.00-18.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Stone Valley,Jl. Pantai pok tunggal,Tepus,Tepus,Gunungkidul,Tidak Diketahui,"-8.150826,110.626428",82332329195,0823323291954,Pruf.li/stonevalley,Tidak Ada,@stonevalleyidn,Tidak Ada,Stone Valley,Tidak Ada Keterangan,Taman Rekreasi,4.5,-8.150659226,110.6265728,Tidak Ada,"Rp20,000","Rp20,000","Rp3,000","Rp5,000",10.00-18.00,10.00-18.00,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Agrowisata Bhumi Merapi ,"Jl. Kaliurang No.Km.20, Sawungan, Hargobinangun, Kec. Pakem",Hargobinangun ,Pakem ,Sleman,TKD,"-7.639884187634032, 110.42631323491942",082225516077,-,-,-,agrowisatabhumimerapi,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.5,-7.63948906,110.4262867,"Spot Foto berupa replika ikon destinasi populer dunia (Yunani, Hobbit House), serta wisata edukasi agrikultur, peternakandan dan mini zoo","Rp30,000","Rp35,000","Rp3,000","Rp5,000",09.00-17.00,09.00-17.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
The World Landmark Merapi Park,"Jl. Kaliurang No.KM. 22.5, Banteng, Hargobinangun, Kec. Pakem",Hargobinangun ,Pakem ,Sleman,TKD,"-7.620681276846018, 110.42157385026445",08770799000,-,-,Merapi Park,merapipark.jogja,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.3,-7.620362954,110.4215207,"Taman bunga, Replika ikon bangunan terkenal dunia seperti Menara Eiffel dan Big Ben.","Rp35,000","Rp35,000","Rp2,000","Rp5,000",09.00-16.00,09.00-16.00,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Ada
Kampung Emas,"Jl. Jogja - Wonosari No.Km. 27, Plumbungan",Putat,Patuk ,Gunungkidul,SHM,"-7.867698563202217, 110.54264318118467",08170435434,-,-,-,-,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.5,-7.834833355,110.5430643,Kuliner,"Rp35,000","Rp35,000","Rp3,000","Rp5,000",10.00-17.00,10.00-17.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Taman Pintar,Jl. Panembahan Senopati No.1-3,Ngupasan,Gondomanan,Kota Yogyakarta,Pemkot Jogja ,"7°48'03""S 110°22'03""E",085729739999,info@tamanpintar.com,tamanpintar.co.id,Taman Pintar Yogyakarta,tamanpintar_yogyakarta,tamanpintaryogyakarta5127,tamanpintaryogyakarta,Tidak Ada Keterangan,Taman Rekreasi,4.5,-7.799533726,110.3677715,Zona Interaktif Berbasis Sains dan Alat peraga sains,"Rp35,000","Rp35,000","Rp3,000","Rp5,000",08.30-16.00,08.30-16.00,Ada,Ada,Ada,Tidak Ada,Ada,Ada,Ada
Embung Kleco,Ngesong RT 61 RW 22,Giripurwo,Girimulyo,Kulon Progo,Tanah Kasultanan,"-7,777165S 110,163236E",Suprihatin 085328884338,Binti Sahsuri 081327159644,tidak ada,tidak ada,tidak ada,tidak ada,tidak ada,Tidak Ada Keterangan,Taman Rekreasi,4.1,-7.77718640,110.16352277,Embung (danau buatan) di atas bukit dengan pemandangan,"Rp3,000","Rp3,000","Rp3,000","Rp5,000",05.30-19.00,05.30-19.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Gembira Loka Zoo,jl kebunraya no 2,warungboto,umbulharjo,Kota Yogyakarta,shm perusahaan,"-7.803458,110.397936",081222662290,-,-,Gembira Loka Zoo,gembiraloka.zooo,Gembira Loka Zoo,gembiraloka.zoo,Tidak Ada Keterangan,Taman Rekreasi,4.6,-7.803699398,110.3981716,Koleksi Satwa yang Beragam dan Terawat,"Rp70,000","Rp85,000","Rp3,000","Rp5,000",08.00-16.00,08.00-16.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Kaliurang Park Botanical Garden ,"Jl. Siaga, Kaliurang, Hargobinangun, Kec. Pakem",Hargobinangun ,Pakem ,Sleman,Tanah Kasultanan ,"-7.598517834566887, 110.42633419444584",088214846454,-,-,Kaliurang Park-Botanical Garden,kaliurangpark,-,kaliurangpark,Tidak Ada Keterangan,Taman Rekreasi,4.7,-7.597688341,110.4263087,"Alam, Koleksi flora dan fauna, serta taman rekreasi keluarga yang sejuk dan wahana","Rp25,000","Rp25,000","Rp3,000","Rp5,000",09.00-17.00,07.00-17.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Satoloka,"Banteng, Hargobinangun, Pakem",Hargobinangun,Pakem,Sleman,-,"-7.6232537162373495, 110.42506417910087",-,-,-,-,-,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.3,-7.623179286,110.4250642,Kebun binatang mini dengan koleksi beragam hewan.,"Rp30,000","Rp30,000","Rp3,000","Rp5,000",09.00-17.00,09.00-17.00,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Drini Park,Wonosobo 1,Banjarrejo,Tanjungsari,Gunungkidul,SHM (sewa/pemilik),"-8.1354163,110.5770114",081973204698 (pak setyo-HRD),-,-,@drinipark,@Drinipark,@drinipark,@Drinipark,Menengah Rendah,Taman Rekreasi,4.4,-8.135131116,110.5770648,Taman rekreasi keluarga dengan berbagai spot foto dan wahana bermain,"Rp25,000","Rp35,000","Rp3,000","Rp5,000",08.00-18.00,08.00-18.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Telaga Kemuning,"Area Hutan, Bunder, Kec. Patuk",Bunder,Patuk ,Gunungkidul,Tanah Kasultanan,"-7.896123912586701, 110.52051831557941",083195913175,-,desawisatabunder.web.id,-,"desawisata_bunder
",-,-,Rendah,Taman Rekreasi,4.4,-7.895943761,110.5201955,Telaga  alami dengan air yang jernih.,"Rp2,000","Rp2,000","Rp3,000","Rp5,000",07.00-20.00,07.00-20.00,Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Omah Salak,Jl Gamas Asri no 5-45 Kenteng Wonokerto ,Wonokerto ,Turi,Sleman,Pribadi,"-7.644718, 110.371177",085228417300,085228417300,-,Omah Salak,Omah Salak,Omah Salak,Omah Salak,Menengah Rendah,Taman Rekreasi,4.2,-7.644594964,110.37105,"Wisata Edukasi Pertanian budidaya salak, dari cara menanam, merawat, hingga memanen.","Rp10,000","Rp10,000","Rp3,000","Rp5,000",08.00-16.00,08.00-16.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
HEHA Forest,"Jl. Kaliurang No.Km. 22, Banteng, Hargobinangun, Kec. Pakem",Hargobinangun,Pakem,Sleman,SHM (Sewa),"-7.625976509912176, 110.42445799444634",089524766616,-,-,HeHa Forest,hehaforest,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.5,-7.625122254,110.4243221,Wisata kuliner dan alam dengan spot foto yang estetik di tengah hutan pinus,"Rp20,000","Rp25,000","Rp3,000","Rp5,000",11.00-20.00,10.00-20.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
He Ha Ocean View,Bolang,Girikarto,Panggang,Gunungkidul,Hak Guna Bangunan,"8°06'27""S 110°28'05""E",0811-2878-879,-,-,-,@hehaoceanview,-,@hehaoceanview,Tinggi,Taman Rekreasi,4.0,-8.102497513,110.4618534,"Restoran dan kafe dengan pemandangan Samudra Hindia dari atas tebing, serta banyak spot foto modern","Rp30,000","Rp35,000","Rp3,000","Rp5,000",10.00-18.00,09.00-19.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pictniq,"Jln. Ngoro Ngoro ombo, Ngandong",Patuk,Patuk,Gunungkidul,Milik Pribadi,"-7.842251,110.484973",087739101288 (Bapak Antonius selaku Manager),08122693590 (Bapak Triwahyudi),linktr.ee/pictniq,Tidak Ada ,PICTNIQ,Tidak Ada ,PICTNIQ,Tidak Ada Keterangan,Taman Rekreasi,4.7,-7.841687056,110.4847616,Icon dari beberapa negara,"Rp30,000","Rp50,000","Rp3,000","Rp5,000",08.00-20.00,06.30-21.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Teras Kaca,"Pantai Nguluran, Bolang",Girisekar,Panggang,Gunungkidul,Hak milik,"8°06'19""S 110°27'43""E",082225933973,-,-,-,teraskaca,-,teraskaca,Menengah Rendah,Taman Rekreasi,4.1,-8.105918066,110.4618697,"Pemandangan laut, Teras Kaca, jembatan kaca yang menjorok ke arah tebing, menawarkan spot foto yang ekstrem dan memuk","Rp15,000","Rp15,000","Rp3,000","Rp5,000",09.00-17.00,08.00-17.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pasar Seni Gabusan ,"Jl. Parangtritis, Balong",Timbulharjo ,Sewon,Bantul,TKD (sewa),"-7.876610077946387, 110.34998362328712",082314965090,-,-,-,-,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.4,-7.875766686,110.3498194,Pengembangan sentra UMKM,Rp0,Rp0,"Rp2,000","Rp5,000",09.00-19.00,09.00-17.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Aloe Land,Padukuhan Jeruklegi,Katongan,Nglipar,Gunungkidul,Milik Pribadi,"-7.8629998,110.668070",085779800154 bapak alan efendhi,-,www.mounthverasejati.com,Tidak Ada,@Aloeland_id,Tidak Ada,Aloeland,Tidak Ada Keterangan,Taman Rekreasi,4.8,-7.86165019,110.6679936,Pengolahan Hulu Hilir komoditas aloevera,"Rp75,000","Rp75,000","Rp3,000","Rp5,000",08.00-15.00,08.00-15.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Wana Delima Orchard,Pendem,Sidomulyo,Pengasih,Kulon Progo,Sultan Ground,"7°48'08""S 110°09'40""E-",082336618585,-,-,Wanadelima Orchard,wanadelimaorchard,-,wanadelimaorchard,Rendah,Taman Rekreasi,4.6,-7.801989921,110.1611919,Hasil Buah,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",09.00-16.30,09.00-16.30,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Etalase Taman Batu Geopark Gunung Sewu,Jl Barin km 6 ,Mulo,Wonosari ,Gunungkidul,Kas Desa ,"-8.027333, 110.587689",087838377891,-,-,-,-,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.2,-8.025520908,110.5872387,Taman yang juga menjadi museum batu batuan karst ,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",00.00-23.58,00.00-23.58,Ada,Ada,Ada,Ada,Tidak Ada,Tidak Ada,Ada
Chocolate Monggo Museum New Factory Store Kedai & Gelato,"Jl. Tugu Gentong No.RT 03, Sribitan",Bangunjiwo,Kasihan,Bantul,-,-,-,-,-,-,-,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.7,-7.83909641,110.2979817,Wisata edukasi mengenai sejarah cokelat dan proses pembuatannya.,"Rp25,000","Rp25,000","Rp3,000","Rp5,000",09.00-18.00,08.00-18.00,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Citra Grand Mutiara Waterpark Yogyakarta,"Perumahan CitraGrand Mutiara, Jl. Wates",Balecatur,Gamping,Sleman,Milik Swasta,"7°48'49""S 110°16'59""E",02742820788,-,-,Waterpark CitraGrand Mutiara,waterparkcitragrandmutiara,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.4,-7.812555823,110.2831302,"Wahana air lengkap, seperti kolam ombak, lazy river, seluncuran, dan kolam renang anak.","Rp50,000","Rp80,000","Rp3,000","Rp5,000",14.00-18.00,08.30-18.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Agro wisata Turi,Gadung Bangunkerto Turi,Bangunkerto,Turi,Sleman,Tanah Kas Desa,"-7.6345975, 110.3565502",0882008859877,-,agrowisataturisleman.wordpress.com,Agrowisata (Agro Wisata Salak Pondok),Agrowisatasalakpondoh,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.1,-7.631989187,110.3568856,Pengalaman memetik salak pondoh langsung dari perkebunan yang lua,"Rp3,000","Rp3,000","Rp3,000","Rp5,000",06.00-18.00,06.00-18.00,Ada,Ada,Tidak Ada,Ada,Ada,Tidak Ada,Ada
Kolam Renang Tirto Tamansari,Jl Pramuka no. 30,Tritenggo,Bantul,Bantul,kas desa trirenggo,"-7.881012, 110.339442",089673897577,waterbyuur.tirtatamansari@gmail.com,-,waterbyuur-tirtatamansari,@waterbyuur_tirtatamansari,-,-,Rendah,Taman Rekreasi,4.1,-7.880314109,110.3394904,kolam renang standar olimpiade,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",08.00-18.00,07.00-18.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Sindu Kusuma Edupark,"Jl. Jambon, Kragilan, Sinduadi",Sinduadi,Mlati,Sleman,Pemerintah,"7°46'05""S 110°21′26″E",0881010089990,-,skecitypark.com,Sindu Kusuma Edupark,skecitypark,-,skecitypark,Tidak Ada Keterangan,Taman Rekreasi,4.2,-7.76614127,110.3553452,"Wahana Air (Kolam Renang) danBianglala raksasa bernama Cakra Manggilingan, yang merupakan bianglala tertinggi di Indonesia.","Rp55,000","Rp55,000","Rp3,000","Rp5,000",08.00-17.00,08.00-17.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Balong Waterpark,"Jl. Pleret No.KM. 1,5, Banjardadap",Potorono,Banguntapan,Bantul,SHM,"-7.843290451327607, 110.4103898944502",085727403012,-,www.balongpark.com,Balong Waterpark,balongwaterpark,-,-,Tidak Ada Keterangan,Taman Rekreasi,4.2,-7.84171284,110.4104003,Taman rekreasi air yang berfokus pada wisata keluarga.,"Rp20,000","Rp25,000","Rp3,000","Rp5,000",09.00-17.00,09.00-17.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Kids fun Park,Jl. Wonosari km10,Sitimulyo,Piyungan,Bantul,Sewa,"-7.82787,110.44131",081585278931/02744353435,info@kidsfun.co.id,www.kidsfun.co.id,KidsFunYogyakarta,@kidsfun_yogyakarta,-,-,Tinggi,Taman Rekreasi,4.5,-7.827074385,110.4412582,Permainan Wahana Parcs,"Rp125,000","Rp125,000","Rp3,000","Rp5,000",09.00-17.00,09.00-17.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Obelix Sea View,Gabug,Giricahyo ,Purwosari ,Gunungkidul,-,"8°01'30""S 110°20'49""E",08112947650,-,https://obelixseaview.com,-,Obelix Sea View ,obelix Sea View ,Obelix Sea View ,Tidak Ada Keterangan,Taman Rekreasi,4.4,-8.024399201,110.3473353,View sunset dengan pemandangan pantai selatan.,"Rp30,000","Rp50,000","Rp5,000","Rp10,000",09.00-21.00,08.00-22.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
